lettre	fichier	iiif
CAC_ED_larochelle-bm-ms813-f118	CAC_ED_larochelle-bm-ms813-f118.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ea854009/530146e519abd6e287e5995570f561882b7b85ff/full/full/0/default.jpg
CAC_ED_nantes-labouchère-ms-820-51	CAC_ED_nantes-labouchère-ms-820-51-i01.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ccceg7o7/c86aa01731cc6b7ffc337bf4572d88897bd7267d/full/full/0/default.jpg
CAC_ED_nantes-labouchère-ms-820-51	CAC_ED_nantes-labouchère-ms-820-51-i02.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ccceg7o7/a03141d82809e74322467cfa6c9f823b30d72747/full/full/0/default.jpg
CAC_ED_bordeaux-am-ms918-f77	FRABM243300316_BORDEAUX_MS_0918_P077_01_B.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.eafepgk7/551b880b65e2581c9acd5efc8277fb57e73bbbdd/full/full/0/default.jpg
CAC_ED_bordeaux-am-ms918-f77	CAC_ED_bordeaux-am-ms918-f77-1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.eafepgk7/cb693644e5d3c130b5d982a71d2a5dadc14e296c/full/full/0/default.jpg
CAC_ED_bordeaux-am-ms918-f77	CAC_ED_bordeaux-am-ms918-f77-2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.eafepgk7/628f665f40d8a974c434266e6135ad02cb4d8843/full/full/0/default.jpg
CAC_ED_amsterdam-bu-dz47b	OTM hs Dz 47 b_001.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.f3bb255m/8a916ed52fbd0aaaf46b921e886492cf81e4ed61/full/full/0/default.jpg
CAC_ED_amsterdam-bu-dz47b	OTM hs Dz 47 b_002.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.f3bb255m/de69585e3202735d3c50ed3e8fde45f7eb1f8426/full/full/0/default.jpg
CAC_ED_amsterdam-bu-dz47a	OTM hs Dz 47 a_002.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.6cb2wtu4/c83ff2364c58272cf60eebec6561323ab4a58583/full/full/0/default.jpg
CAC_ED_amsterdam-bu-dz47a	OTM hs Dz 47 a_001.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.6cb2wtu4/ff9fc9b1a015b0ab1757a3313140c16bced56a55/full/full/0/default.jpg
CAC_ED_amsterdam-bu-43bt2	OTM hs 43 Bt 2.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.d351ya68/8e32132019ed09ea0dc0e953fe7d48d4ba40cc7d/full/full/0/default.jpg
CAC_ED_amsterdam-bu-cp37c	OTM hs Cp 37 c_001.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.d267r28t/2ee355188b800ee7bfd71b82c3cb42f2ab1e57dc/full/full/0/default.jpg
CAC_ED_amsterdam-bu-cp37c	OTM hs Cp 37 c_002.tif	https://api.nakala.fr/iiif/10.34847%2Fnkl.d267r28t/56199a9a6559685df481f3787180c8c3e9eee6e7/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-01	2 Num i 03792 - 2 J 187 piece 1 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.7cb1gfgr/8c20b22d71e9c559a04a40782560431a46f0f8c2/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-01	2 Num i 03793 - 2 J 187 piece 1 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.7cb1gfgr/46e7cf710d728f15da33cb6e03ae969720d2f07e/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-02	2 Num i 03796 - 2 J 187 piece 2 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ee49v475/d7877e42ce87e67e0207fa5472cfc8c1faaa0232/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-02	2 Num i 03797 - 2 J 187 piece 2 page 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ee49v475/829407f804280c239215504f9e857c614624cbcf/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-02	2 Num i 03795 - 2 J 187 piece 2 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ee49v475/c8779cf737c23b78383f1e505e444213cea411fb/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-02	2 Num i 03794 - 2 J 187 piece 2 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.ee49v475/d1210c9bbca24cfdb45bfa6809acce5933176642/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-03	2 Num i 03799 - 2 J 187 piece 3 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.29f437ib/aa595d37f0d4b47c78b78dc0dd7588f76f6c9859/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-03	2 Num i 03798 - 2 J 187 piece 3 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.29f437ib/dcf55b941cbd3b325722a8c0d8078f4832bb216d/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-04	2 Num i 03800 - 2 J 187 piece 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.447fd8f9/56c87e247ebcaa24eee5d68561ecabaf519c745f/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-05	2 Num i 03801 - 2 J 187 piece 5.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.807dlk1p/5cbac4d678995bfcd13f3b6a88ae990acc213ae1/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-06	2 Num i 03802 - 2 J 187 piece 6 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.9efczfap/769117d4c2e2850ca899b872bb5ddbdc379317a1/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-06	2 Num i 03804 - 2 J 187 piece 6 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.9efczfap/4bfdc7568e43020a1c7e52b5712b1f2226661f99/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-06	2 Num i 03803 - 2 J 187 piece 6 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.9efczfap/bcefd6e6c4416f613c865933b246f36e83ae4623/full/full/0/default.jpg
